 Is Child Table, Là Bảng Con,
 Is Subcontracted, Được thuê ngoài,
 Item, Hàng hóa,
 Name, Tên,
 Rate, Đơn giá,
 Raw Material, Nguyên liệu thô,
 Reserve Stock, Dự trữ kho,
 Skip Material Transfer, Bỏ qua Chuyển vật liệu,
 Sub Assembly, Bộ phận lắp ráp con,
 Summary, Tóm tắt,
"""Customer Provided Item"" cannot be Purchase Item also",“Hàng hóa do Khách hàng Cung cấp” không thể đồng thời là Hàng hóa Mua,
"""Customer Provided Item"" cannot have Valuation Rate",“Hàng hóa do Khách hàng cung cấp” không thể có Tỷ lệ Định giá,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Là Tài sản cố định"" không thể bỏ chọn, vì đã có bản ghi Tài sản đối với hàng hóa này",
"""SN-01::10"" for ""SN-01"" to ""SN-10""",“SN-01::10” cho “SN-01” đến “SN-10”,
# In Stock,# Còn hàng,
# Req'd Items,# Các Mục Bắt Buộc,
%  Delivered,% Đã giao,
% Amount Billed,% Số Tiền Đã Lập Hóa Đơn,
% Billed,% Đã lập hóa đơn,
% Complete Method,% Phương pháp hoàn thành,
% Completed,% Hoàn Thành,
% Finished Item Quantity,% Số lượng Hàng hóa Hoàn thành,
% Installed,% Đã cài đặt,
% Occupied,% Đã sử dụng,
% Of Grand Total,% Tổng Cộng,
% Ordered,% Đã đặt hàng,
% Picked,% Đã chọn,
% Process Loss,% Hao Hụt Quy Trình,
% Progress,% Tiến độ,
% Received,% Đã nhận,
% Returned,% Đã trả lại,
% of materials billed against this Sales Order,% vật tư đã lập hóa đơn so với Đơn hàng bán này,
% of materials delivered against this Sales Order,% vật liệu đã giao so với Đơn hàng bán này,
'Account' in the Accounting section of Customer {0},‘Tài khoản’ trong phần Kế toán của Khách hàng {0},
'Allow Multiple Sales Orders Against a Customer's Purchase Order','Cho phép tạo nhiều đơn hàng bán cho một đơn đặt hàng của khách hàng',
'Based On' and 'Group By' can not be same,'Dựa trên' và 'Nhóm theo' không được giống nhau,
'Date' is required,'Ngày' là bắt buộc,
'Days Since Last Order' must be greater than or equal to zero,'Số ngày kể từ đơn hàng cuối cùng' phải lớn hơn hoặc bằng không,
'Default {0} Account' in Company {1},'Tài khoản {0} Mặc định' trong Công ty {1},
'Entries' cannot be empty,'Entries' không được để trống,
'From Date' is required,'Từ ngày' là bắt buộc,
'From Date' must be after 'To Date','Từ ngày' phải trước 'Đến ngày',
'Has Serial No' can not be 'Yes' for non-stock item,'Có Số Sê-ri' không thể là 'Có' đối với hàng hóa không thuộc kho,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","'Yêu cầu kiểm tra trước khi giao hàng' đã bị tắt cho hàng hóa {0}, không cần tạo QI",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","'Yêu cầu kiểm tra trước khi mua' đã bị tắt cho hàng hóa {0}, không cần tạo QI",
'Opening','Mở',
'To Date' is required,'Đến ngày' là bắt buộc,
'To Package No.' cannot be less than 'From Package No.','Đến Số kiện' không được nhỏ hơn 'Từ Số kiện'.,
'Update Stock' can not be checked because items are not delivered via {0},Không thể chọn 'Cập nhật kho' vì các hàng hóa không được giao qua {0},
'Update Stock' cannot be checked for fixed asset sale,Không thể chọn 'Cập nhật kho' cho bán tài sản cố định,
'{0}' account is already used by {1}. Use another account.,Tài khoản '{0}' đã được sử dụng bởi {1}. Vui lòng sử dụng tài khoản khác.,
'{0}' has been already added.,'{0}' đã được thêm vào rồi.,
'{0}' should be in company currency {1}.,'{0}' phải ở đơn vị tiền tệ của công ty {1}.,
(A) Qty After Transaction,(A) Số lượng sau giao dịch,
(B) Expected Qty After Transaction,(B) Số lượng dự kiến sau giao dịch,
(C) Total Qty in Queue,(C) Tổng số lượng trong hàng đợi,
